"scenario","type","valence","mean","sd"
23,"witness","inculpatory",1.22865972595708,0.216246935897167
23,"character","exculpatory",-0.320584437129864,0.144846038649926
23,"character","inculpatory",0.760139025022516,0.220288940269907
24,"physical","exculpatory",-0.899667981858645,0.282229142838458
24,"physical","ambiguous",0.502668146794265,0.27504584375524
24,"physical","inculpatory",1.60696947558629,0.317276148183828
24,"document","exculpatory",-0.913502107290407,0.269571506381527
24,"document","ambiguous",0.197990308228987,0.281044610205428
24,"document","inculpatory",2.41087668828919,0.324216864012044
24,"witness","exculpatory",-0.729150930177582,0.222018112893789
24,"witness","ambiguous",-0.156105705968086,0.178910821451855
24,"witness","inculpatory",1.17528076521182,0.230262053321575
24,"character","exculpatory",-0.336540624761344,0.1414208690716
24,"character","inculpatory",0.575521479972919,0.212278803085568
25,"physical","exculpatory",-1.21085076451999,0.268067013015923
25,"physical","ambiguous",0.340935506571714,0.286339058868992
25,"physical","inculpatory",1.71011661381796,0.352781648389536
25,"document","exculpatory",-1.36640002903429,0.295352921638013
25,"document","ambiguous",0.137636837966211,0.280696367349093
25,"document","inculpatory",1.71036942872826,0.306922420080877
25,"witness","exculpatory",-0.676750253109986,0.242197584615741
25,"witness","ambiguous",-0.155106592781665,0.181731537995827
25,"witness","inculpatory",1.36042535537917,0.215670824302031
25,"character","exculpatory",-0.397886597117323,0.153179548688085
25,"character","inculpatory",0.903680967600095,0.232628567358085
26,"physical","exculpatory",-0.702723796697507,0.274291687911764
26,"physical","ambiguous",-0.0386445050371577,0.296945429864361
26,"physical","inculpatory",2.1209190560807,0.304444783926522
26,"document","exculpatory",-0.878538993112961,0.272811459589664
26,"document","ambiguous",0.879850250717569,0.302445589279875
26,"document","inculpatory",1.00431355214442,0.300440110643142
26,"witness","exculpatory",-0.70075499259741,0.231988323179267
26,"witness","ambiguous",-0.118088728134941,0.177770742903251
26,"witness","inculpatory",1.24557183575419,0.218607400474231
26,"character","exculpatory",-0.385031256689146,0.15032787620486
26,"character","inculpatory",0.847340830537457,0.228193992013292
27,"physical","exculpatory",-1.44974992118803,0.29358433092649
27,"physical","ambiguous",0.443522958701228,0.285123416819878
27,"physical","inculpatory",2.68233884680965,0.32753805502842
27,"document","exculpatory",-1.31562553346511,0.289319789509118
27,"document","ambiguous",0.327853938762364,0.26877336044464
27,"document","inculpatory",1.62247403114743,0.291504931675233
27,"witness","exculpatory",-0.63719525510252,0.240263654996505
27,"witness","ambiguous",-0.0672653298418889,0.183361203764749
27,"witness","inculpatory",1.41062993169984,0.215665181490476
27,"character","exculpatory",-0.385949259981018,0.148193360796458
27,"character","inculpatory",1.06338430680724,0.244876456181491
28,"physical","exculpatory",-0.998105226587644,0.275196426247269
28,"physical","ambiguous",-0.0201537797006795,0.284252844764673
28,"physical","inculpatory",1.73739365792794,0.295107820493245
28,"document","exculpatory",-0.48195976603981,0.282052666060549
28,"document","ambiguous",0.365974186001111,0.290222823128808
28,"document","inculpatory",1.12009488940505,0.30989196604216
28,"witness","exculpatory",-0.762377887038139,0.234112611874109
28,"witness","ambiguous",-0.205176628906714,0.185194423971571
28,"witness","inculpatory",1.46421152119188,0.231142776193641
28,"character","exculpatory",-0.267316334801674,0.15513595334522
28,"character","inculpatory",0.582937105256657,0.22254394440625
29,"physical","exculpatory",-0.610392133449062,0.278388024287369
29,"physical","ambiguous",0.367606395545971,0.290163590180082
29,"physical","inculpatory",2.15973026934499,0.316794436617742
29,"document","exculpatory",-0.522883468488927,0.297896362044214
